CustomerID,Gender,Age,Location,Product,Category,PurchaseAmount
1,Male,29,Mumbai,Smartphone,Electronics,1180
2,Male,57,Delhi,Running Shoes,Sports,18246
3,Female,31,Bangalore,T-shirt,Fashion,52048
4,Male,51,Mumbai,Smartphone,Electronics,47563
5,Male,56,Delhi,Football,Sports,53502
6,Female,35,Delhi,Smartphone,Electronics,57615
7,Female,21,Mumbai,Running Shoes,Sports,43743
8,Female,20,Bangalore,Cricket Bat,Sports,49298
9,Female,28,Mumbai,Smartwatch,Electronics,58843
10,Male,52,Bangalore,Headphones,Electronics,45139
11,Male,39,Delhi,Fruits,Grocery,27274
12,Male,60,Hyderabad,Fruits,Grocery,52500
13,Male,50,Delhi,Jacket,Fashion,33677
14,Male,48,Mumbai,Shoes,Fashion,26243
15,Female,38,Mumbai,Jacket,Fashion,41250
16,Male,59,Delhi,Jacket,Fashion,18397
17,Female,35,Hyderabad,Headphones,Electronics,6519
18,Female,20,Chennai,T-shirt,Fashion,2671
19,Female,26,Delhi,Rice,Grocery,8257
20,Female,46,Hyderabad,Milk,Grocery,39420
21,Female,30,Mumbai,Smartwatch,Electronics,21387
22,Female,42,Hyderabad,Gym Gloves,Sports,15664
23,Female,54,Mumbai,Vegetables,Grocery,36740
24,Male,60,Hyderabad,Jacket,Fashion,3161
25,Male,50,Delhi,Smartphone,Electronics,57915
26,Male,22,Delhi,Milk,Grocery,27777
27,Male,18,Chennai,Laptop,Electronics,6385
28,Male,55,Chennai,Smartphone,Electronics,27673
29,Female,52,Chennai,Milk,Grocery,47603
30,Female,35,Bangalore,Gym Gloves,Sports,45099
31,Female,49,Hyderabad,Jacket,Fashion,53307
32,Male,60,Chennai,Milk,Grocery,45095
33,Female,40,Hyderabad,T-shirt,Fashion,42303
34,Female,53,Delhi,Smartwatch,Electronics,16585
35,Female,50,Hyderabad,Handbag,Fashion,34233
36,Male,23,Bangalore,Football,Sports,41443
37,Female,38,Hyderabad,Laptop,Electronics,5911
38,Male,23,Chennai,Smartphone,Electronics,42792
39,Male,41,Bangalore,Cricket Bat,Sports,4458
40,Female,46,Delhi,Smartphone,Electronics,46281
41,Male,41,Chennai,Handbag,Fashion,639
42,Female,24,Mumbai,T-shirt,Fashion,20196
43,Female,40,Chennai,Tennis Racket,Sports,10008
44,Female,49,Delhi,Smartwatch,Electronics,8434
45,Female,33,Mumbai,Shoes,Fashion,37944
46,Male,36,Mumbai,Smartwatch,Electronics,31618
47,Male,37,Delhi,Cricket Bat,Sports,25065
48,Male,53,Delhi,Tablet,Electronics,55895
49,Female,33,Hyderabad,T-shirt,Fashion,3530
50,Male,47,Delhi,Snacks,Grocery,15089
51,Female,29,Delhi,Running Shoes,Sports,10159
52,Female,56,Hyderabad,Smartwatch,Electronics,12473
53,Female,55,Mumbai,Laptop,Electronics,41004
54,Female,20,Mumbai,Shoes,Fashion,7252
55,Female,51,Mumbai,T-shirt,Fashion,10169
56,Male,19,Bangalore,T-shirt,Fashion,52587
57,Male,30,Hyderabad,Cricket Bat,Sports,46646
58,Female,33,Mumbai,Snacks,Grocery,5620
59,Male,29,Bangalore,Headphones,Electronics,8887
60,Female,51,Bangalore,Vegetables,Grocery,43941
61,Female,51,Hyderabad,Running Shoes,Sports,33756
62,Female,43,Chennai,Snacks,Grocery,18260
63,Female,54,Mumbai,Jacket,Fashion,54371
64,Male,32,Hyderabad,Cricket Bat,Sports,36236
65,Female,20,Chennai,T-shirt,Fashion,15149
66,Female,37,Bangalore,Rice,Grocery,56004
67,Male,29,Delhi,Jeans,Fashion,21281
68,Male,21,Hyderabad,Football,Sports,32081
69,Male,49,Delhi,Headphones,Electronics,42377
70,Female,19,Delhi,Handbag,Fashion,50011
71,Male,47,Mumbai,Tennis Racket,Sports,36314
72,Male,52,Hyderabad,Cricket Bat,Sports,42913
73,Male,46,Bangalore,Smartwatch,Electronics,41750
74,Female,45,Hyderabad,Jacket,Fashion,16879
75,Male,35,Mumbai,Tennis Racket,Sports,27310
76,Male,21,Delhi,Football,Sports,30026
77,Female,37,Delhi,Laptop,Electronics,20300
78,Male,30,Delhi,T-shirt,Fashion,19852
79,Male,56,Bangalore,Running Shoes,Sports,7716
80,Female,22,Chennai,Handbag,Fashion,8196
81,Female,35,Mumbai,Jeans,Fashion,23534
82,Male,56,Mumbai,Vegetables,Grocery,41744
83,Female,46,Delhi,Smartphone,Electronics,19177
84,Female,54,Mumbai,Milk,Grocery,34928
85,Male,30,Mumbai,Tablet,Electronics,24435
86,Female,53,Delhi,Vegetables,Grocery,35650
87,Male,29,Chennai,Smartwatch,Electronics,13583
88,Female,29,Delhi,Headphones,Electronics,34243
89,Male,54,Delhi,Gym Gloves,Sports,53180
90,Male,35,Hyderabad,Running Shoes,Sports,1655
91,Female,56,Hyderabad,Jeans,Fashion,37079
92,Male,38,Delhi,Gym Gloves,Sports,32221
93,Female,27,Hyderabad,Jacket,Fashion,31667
94,Male,25,Bangalore,Handbag,Fashion,7154
95,Female,33,Bangalore,Running Shoes,Sports,11301
96,Female,53,Hyderabad,Jeans,Fashion,30957
97,Female,48,Chennai,Gym Gloves,Sports,19618
98,Male,57,Delhi,Laptop,Electronics,44514
99,Male,38,Mumbai,Tablet,Electronics,59933
100,Male,44,Chennai,Vegetables,Grocery,23626
101,Female,24,Delhi,Smartphone,Electronics,24775
102,Male,27,Mumbai,Snacks,Grocery,50684
103,Female,23,Delhi,Smartphone,Electronics,29349
104,Female,37,Chennai,T-shirt,Fashion,22096
105,Male,18,Mumbai,Tablet,Electronics,29530
106,Male,48,Delhi,Vegetables,Grocery,49349
107,Female,34,Hyderabad,Jacket,Fashion,47833
108,Female,34,Bangalore,Gym Gloves,Sports,37982
109,Male,22,Hyderabad,Football,Sports,56221
110,Male,49,Delhi,Cricket Bat,Sports,3820
111,Female,42,Chennai,Running Shoes,Sports,52654
112,Male,32,Mumbai,Cricket Bat,Sports,34370
113,Male,24,Mumbai,Cricket Bat,Sports,53522
114,Male,26,Bangalore,Running Shoes,Sports,3245
115,Female,38,Hyderabad,Laptop,Electronics,49691
116,Female,18,Chennai,Jacket,Fashion,48530
117,Female,22,Hyderabad,Tablet,Electronics,52420
118,Male,53,Bangalore,Handbag,Fashion,20663
119,Male,57,Mumbai,Fruits,Grocery,20996
120,Male,53,Bangalore,Smartwatch,Electronics,35895
121,Male,53,Hyderabad,Jeans,Fashion,36522
122,Female,60,Mumbai,Jacket,Fashion,50696
123,Male,45,Delhi,Gym Gloves,Sports,19837
124,Male,22,Hyderabad,Smartphone,Electronics,57745
125,Female,26,Hyderabad,Headphones,Electronics,59727
126,Male,43,Bangalore,Tablet,Electronics,38101
127,Male,34,Delhi,Snacks,Grocery,49027
128,Female,54,Bangalore,Gym Gloves,Sports,44407
129,Male,36,Mumbai,Rice,Grocery,35481
130,Female,55,Delhi,Smartwatch,Electronics,1309
131,Female,45,Chennai,Milk,Grocery,31465
132,Female,52,Chennai,Smartwatch,Electronics,48254
133,Male,24,Hyderabad,Smartwatch,Electronics,31763
134,Female,59,Chennai,Snacks,Grocery,43757
135,Female,27,Bangalore,Headphones,Electronics,16949
136,Female,60,Mumbai,Milk,Grocery,50547
137,Male,44,Bangalore,Fruits,Grocery,27231
138,Male,52,Bangalore,Rice,Grocery,36905
139,Male,20,Hyderabad,Milk,Grocery,28235
140,Male,37,Chennai,Handbag,Fashion,58088
141,Female,35,Delhi,Cricket Bat,Sports,48902
142,Male,41,Chennai,Jacket,Fashion,30641
143,Female,42,Mumbai,Smartwatch,Electronics,16370
144,Male,31,Mumbai,Laptop,Electronics,51391
145,Male,38,Mumbai,Jacket,Fashion,2641
146,Female,41,Hyderabad,Jeans,Fashion,44649
147,Female,46,Hyderabad,Tennis Racket,Sports,33979
148,Female,45,Chennai,Vegetables,Grocery,9679
149,Female,53,Hyderabad,Cricket Bat,Sports,56627
150,Male,57,Mumbai,Jacket,Fashion,35673
151,Male,25,Chennai,Fruits,Grocery,18415
152,Male,28,Chennai,Running Shoes,Sports,29851
153,Female,28,Mumbai,Running Shoes,Sports,24630
154,Male,31,Hyderabad,Tennis Racket,Sports,30780
155,Male,42,Hyderabad,Headphones,Electronics,18722
156,Female,26,Hyderabad,Football,Sports,31159
157,Male,31,Chennai,Smartwatch,Electronics,58931
158,Female,21,Bangalore,Smartphone,Electronics,55530
159,Female,26,Hyderabad,T-shirt,Fashion,20162
